Date,Station,Latitude,Longitude,Tmax,Tmin,Tavg,Depart,DewPoint,WetBulb,Heat,Cool,Sunrise,Sunset,CodeSum,Depth,Water1,SnowFall,PrecipTotal,StnPressure,SeaLevel,ResultSpeed,ResultDir,AvgSpeed
2007-05-16,2,41.786,-87.752,64,45,54.5,M,42,47,10, 0,-,-,RA BR,M,M,M,0.07,29.39,30.03,8.0,36,11.8
2007-05-17,1,41.995,-87.933,62,43,52.5,-6,32,43,12, 0,0430,1906, ,0,M,0.0,0.0,29.55,30.27,10.5,3,11.3
2007-05-17,2,41.786,-87.752,61,44,52.5,M,32,43,12, 0,-,-, ,M,M,M,0.0,29.62,30.27,11.7,1,12.2
2007-05-18,1,41.995,-87.933,71,42,56.5,-3,30,46,8, 0,0429,1907, ,0,M,0.0,0.0,29.53,30.25,5.4,25,7.5
2007-05-18,2,41.786,-87.752,70,43,56.5,M,31,47,8, 0,-,-, ,M,M,M,0.0,29.60,30.26,3.4,22,5.5
2007-05-19,1,41.995,-87.933,80,56,68.0, 8,39,53,0, 3,0428,1908, ,0,M,0.0,0.0,29.34,30.08,11.1,24,11.4
2007-05-19,2,41.786,-87.752,80,56,68.0,M,37,53,0, 3,-,-, ,M,M,M,0.0,29.41,30.08,11.1,23,11.4
2007-05-20,1,41.995,-87.933,69,43,56.0,-5,40,44,9, 0,0427,1909,RA VCTS,0,M,0.0,0.07,29.38,30.11,10.4,4,10.7
2007-05-20,2,41.786,-87.752,69,44,56.5,M,41,45,8, 0,-,-,TSRA RA,M,M,M,0.11,29.44,30.11,8.6,3,9.7
2007-05-21,1,41.995,-87.933,80,44,62.0, 1,50,56,3, 0,0426,1910, ,0,M,0.0,0.0,29.33,30.06,6.3,11,8.2
2007-05-21,2,41.786,-87.752,79,46,62.5,M,50,57,2, 0,-,-, ,M,M,M,0.0,29.39,30.05,6.3,10,7.8
2007-05-22,1,41.995,-87.933,87,55,71.0,10,46,58,0, 6,0425,1911, ,0,M,0.0,0.0,29.34,30.06,10.0,18,10.2
2007-05-22,2,41.786,-87.752,87,60,73.5,M,44,58,0, 9,-,-, ,M,M,M,0.0,29.41,30.05,10.1,16,10.6
2007-05-23,1,41.995,-87.933,89,60,74.5,14,49,61,0,10,0425,1912, ,0,M,0.0,0.0,29.39,30.10,11.4,19,11.8
2007-05-23,2,41.786,-87.752,89,66,77.5,M,48,61,0,13,-,-, ,M,M,M,0.0,29.47,30.10,10.9,18,11.2
2007-05-24,1,41.995,-87.933,88,63,75.5,14,54,63,0,11,0424,1913,RA HZ,0,M,0.0,0.02,29.41,30.11,14.9,21,17.3
2007-05-24,2,41.786,-87.752,88,66,77.0,M,53,63,0,12,-,-,RA HZ,M,M,M,0.0,29.47,30.10,13.8,20,15.2
2007-05-25,1,41.995,-87.933,70,56,63.0, 1,44,53,2, 0,0423,1914, ,0,M,0.0,0.0,29.51,30.24,4.9,5,8.8
2007-05-25,2,41.786,-87.752,66,57,61.5,M,46,53,3, 0,-,-,RA BR,M,M,M,0.09,29.57,30.23,4.5,5,8.2
2007-05-26,1,41.995,-87.933,65,49,57.0,-5,55,56,8, 0,0422,1915,TSRA RA BR HZ,0,M,0.0,1.01,29.36,30.11,2.8,17,7.2
2007-05-26,2,41.786,-87.752,70,50,60.0,M,55,57,5, 0,-,-,TSRA RA BR,M,M,M,0.28,29.42,30.10,2.5,15,7.8
2007-05-27,1,41.995,-87.933,75,57,66.0, 4,47,56,0, 1,0422,1916,RA BR,0,M,0.0,0.04,29.34,30.06,8.9,26,9.5
2007-05-27,2,41.786,-87.752,75,59,67.0,M,49,57,0, 2,-,-,RA BR,M,M,M,0.08,29.41,30.05,8.2,24,9.2
2007-05-28,1,41.995,-87.933,79,50,64.5, 2,47,56,0, 0,0421,1916,RA,0,M,0.0,0.0,29.43,30.15,4.8,10,5.3
2007-05-28,2,41.786,-87.752,76,54,65.0,M,49,57,0, 0,-,-, ,M,M,M,0.0,29.49,30.14,4.7,8,5.2
2007-05-29,1,41.995,-87.933,88,60,74.0,10,58,65,0, 9,0421,1917,BR HZ,0,M,0.0,0.0,29.39,30.11,5.8,18,6.5
2007-05-29,2,41.786,-87.752,88,65,76.5,M,59,66,0,12,-,-,BR HZ,M,M,M,0.0,29.44,30.09,5.8,16,7.4
2007-05-30,1,41.995,-87.933,87,66,76.5,13,58,65,0,12,0420,1918,HZ,0,M,0.0,0.0,29.31,30.04,10.3,19,10.6
2007-05-30,2,41.786,-87.752,89,70,79.5,M,57,66,0,15,-,-,HZ,M,M,M,0.0,29.38,30.03,9.7,17,10.1
2007-05-31,1,41.995,-87.933,78,65,71.5, 8,61,65,0, 7,0420,1919,RA HZ,0,M,0.0,0.01,29.28,30.00,9.3,19,9.9
2007-05-31,2,41.786,-87.752,80,68,74.0,M,61,66,0, 9,-,-,RA BR,M,M,M,0.53,29.34,29.99,8.9,18,9.2
2007-06-01,1,41.995,-87.933,85,62,73.5,10,63,66,0, 9,0419,1920,TSRA BR HZ,0,M,0.0,0.19,29.19,29.91,4.2,17,6.4
2007-06-01,2,41.786,-87.752,86,67,76.5,M,63,67,0,12,-,-,TSRA BR HZ,M,M,M,0.21,29.25,29.90,4.7,16,5.8
2007-06-02,1,41.995,-87.933,81,65,73.0, 9,63,67,0, 8,0419,1920,RA BR,0,M,0.0,0.04,29.03,29.77,6.5,22,7.4
2007-06-02,2,41.786,-87.752,81,68,74.5,M,62,67,0,10,-,-,RA BR,M,M,M,0.0,29.10,29.76,7.5,21,8.2
2007-06-03,1,41.995,-87.933,78,62,70.0, 6,60,63,0, 5,0418,1921,TSRA RA BR HZ,0,M,0.0,0.01,28.82,29.56,5.2,25,6.7
2007-06-03,2,41.786,-87.752,77,64,70.5,M,60,64,0, 6,-,-,RA BR HZ VCTS,M,M,M,0.32,28.87,29.54,4.9,24,7.2
2007-06-04,1,41.995,-87.933,71,58,64.5, 1,58,60,0, 0,0418,1922,TSRA RA BR,0,M,0.0,0.39,28.82,29.52,7.8,31,9.7
2007-06-04,2,41.786,-87.752,72,56,64.0,M,57,60,1, 0,-,-,RA BR,M,M,M,0.31,28.88,29.51,7.9,30,10.1
2007-06-05,1,41.995,-87.933,64,47,55.5,-9,48,51,9, 0,0417,1923,RA BR,0,M,0.0,0.42,29.10,29.79,5.2,5,7.6
2007-06-05,2,41.786,-87.752,63,51,57.0,M,47,52,8, 0,-,-,RA BR,M,M,M,0.27,29.16,29.78,6.2,3,8.1
2007-06-06,1,41.995,-87.933,71,44,57.5,-8,48,55,7, 0,0417,1923,RA,0,M,0.0,0.01,29.07,29.81,10.8,17,11.4
2007-06-06,2,41.786,-87.752,73,48,60.5,M,47,55,4, 0,-,-,RA,M,M,M,0.0,29.13,29.82,9.6,15,10.6
2007-06-07,1,41.995,-87.933,91,71,81.0,15,62,69,0,16,0417,1924, ,0,M,0.0,0.0,28.84,29.55,22.7,20,23.1
2007-06-07,2,41.786,-87.752,92,71,81.5,M,61,68,0,17,-,-, ,M,M,M,0.0,28.91,29.55,20.3,19,20.7
2007-06-08,1,41.995,-87.933,81,57,69.0, 3,53,61,0, 4,0417,1925, ,0,M,0.0,0.0,29.18,29.85,10.9,28,13.8
2007-06-08,2,41.786,-87.752,81,63,72.0,M,54,62,0, 7,-,-, ,M,M,M,0.0,29.24,29.83,9.3,26,12.4
2007-06-09,1,41.995,-87.933,79,52,65.5, 0,47,57,0, 1,0416,1925, ,0,M,0.0,0.0,29.36,30.07,0.3,33,5.0
2007-06-09,2,41.786,-87.752,79,57,68.0,M,49,58,0, 3,-,-, ,M,M,M,0.0,29.42,30.05,2.4,19,4.7
2007-06-10,1,41.995,-87.933,81,55,68.0, 1,51,59,0, 3,0416,1926, ,0,M,0.0,0.0,29.34,30.05,4.8,17,5.6
2007-06-10,2,41.786,-87.752,81,61,71.0,M,50,60,0, 6,-,-, ,M,M,M,0.0,29.39,30.04,4.6,16,5.8
2007-06-11,1,41.995,-87.933,86,58,72.0, 5,52,61,0, 7,0416,1926, ,0,M,0.0,0.0,29.41,30.11,4.9,11,6.9
2007-06-11,2,41.786,-87.752,85,65,75.0,M,51,61,0,10,-,-, ,M,M,M,0.0,29.47,30.09,6.6,9,8.4
2007-06-12,1,41.995,-87.933,83,62,72.5, 5,50,60,0, 8,0416,1927, ,0,M,0.0,0.0,29.44,30.16,8.3,5,8.8
2007-06-12,2,41.786,-87.752,82,66,74.0,M,51,61,0, 9,-,-, ,M,M,M,0.0,29.49,30.14,9.4,5,10.0
2007-06-13,1,41.995,-87.933,87,60,73.5, 6,53,62,0, 9,0416,1927, ,0,M,0.0,0.0,29.36,30.09,7.2,5,8.6
2007-06-13,2,41.786,-87.752,86,68,77.0,M,53,62,0,12,-,-, ,M,M,M,0.0,M,M,7.0,5,M
2007-06-14,1,41.995,-87.933,89,64,76.5, 9,55,64,0,12,0416,1928, ,0,M,0.0,0.0,29.30,30.02,5.6,5,6.8
2007-06-14,2,41.786,-87.752,89,68,78.5,M,54,63,0,14,-,-, ,M,M,M,0.0,29.36,30.00,5.9,7,6.4
2007-06-15,1,41.995,-87.933,91,63,77.0, 9,56,64,0,12,0416,1928, ,0,M,0.0,0.0,29.28,29.99,4.1,6,4.9
2007-06-15,2,41.786,-87.752,89,67,78.0,M,56,65,0,13,-,-, ,M,M,M,0.0,29.34,29.97,3.8,9,4.1
2007-06-16,1,41.995,-87.933,93,66,79.5,11,60,67,0,15,0416,1929,RA HZ,0,M,0.0,0.0,29.26,29.97,4.8,28,5.8
2007-06-16,2,41.786,-87.752,92,68,80.0,M,61,68,0,15,-,-,HZ,M,M,M,0.0,29.33,29.96,2.1,22,6.1
2007-06-17,1,41.995,-87.933,91,70,80.5,12,64,70,0,16,0416,1929,HZ,0,M,0.0,0.0,29.23,29.95,2.8,11,6.3
2007-06-17,2,41.786,-87.752,91,71,81.0,M,65,70,0,16,-,-,HZ,M,M,M,0.16,29.28,29.93,4.0,11,6.1
2007-06-18,1,41.995,-87.933,89,69,79.0, 9,65,70,0,14,0416,1929,TSRA RA HZ,0,M,0.0,0.28,29.12,29.84,14.0,20,15.1
2007-06-18,2,41.786,-87.752,89,73,81.0,M,65,70,0,16,-,-,TSRA RA HZ,M,M,M,0.02,29.19,29.83,12.2,20,12.6
2007-06-19,1,41.995,-87.933,80,65,72.5, 3,55,63,0, 8,0416,1930,RA,0,M,0.0,0.58,29.26,29.95,10.7,28,11.4
2007-06-19,2,41.786,-87.752,81,65,73.0,M,55,63,0, 8,-,-,RA BR,M,M,M,0.93,29.31,29.93,10.1,29,11.3
2007-06-20,1,41.995,-87.933,84,61,72.5, 3,52,61,0, 8,0416,1930, ,0,M,0.0,0.0,29.39,30.10,7.8,27,8.8
2007-06-20,2,41.786,-87.752,85,62,73.5,M,50,61,0, 9,-,-, ,M,M,M,0.0,29.46,30.09,5.9,28,7.7
2007-06-21,1,41.995,-87.933,77,61,69.0,-1,51,60,0, 4,0416,1930,RA,0,M,0.0,0.01,29.36,30.08,3.5,3,10.7
2007-06-21,2,41.786,-87.752,80,66,73.0,M,51,61,0, 8,-,-,RA,M,M,M,0.0,29.41,30.06,3.7,2,9.6
2007-06-22,1,41.995,-87.933,76,61,68.5,-1,50,58,0, 4,0417,1931,RA,0,M,0.0,0.0,29.33,30.06,7.8,6,8.7
2007-06-22,2,41.786,-87.752,75,62,68.5,M,49,58,0, 4,-,-,RA,M,M,M,0.0,29.39,30.05,6.5,7,8.1
2007-06-23,1,41.995,-87.933,67,62,64.5,-5,58,61,0, 0,0417,1931,RA BR,0,M,0.0,0.05,29.23,29.96,7.6,12,9.0
2007-06-23,2,41.786,-87.752,68,61,64.5,M,60,62,0, 0,-,-,RA BR,M,M,M,0.34,29.28,29.95,7.3,11,8.1
2007-06-24,1,41.995,-87.933,77,63,70.0,-1,62,65,0, 5,0417,1931,BR HZ,0,M,0.0,0.0,29.26,29.97,7.0,9,8.0
2007-06-24,2,41.786,-87.752,75,65,70.0,M,62,65,0, 5,-,-,BR HZ,M,M,M,0.0,29.33,29.96,5.6,10,6.0
2007-06-25,1,41.995,-87.933,89,65,77.0, 6,66,70,0,12,0417,1931,BR HZ,0,M,0.0,0.0,29.38,30.07,3.9,14,6.8
2007-06-25,2,41.786,-87.752,86,67,76.5,M,67,70,0,12,-,-,BR HZ,M,M,M,0.0,29.44,30.06,4.0,12,5.9
2007-06-26,1,41.995,-87.933,92,70,81.0,10,69,72,0,16,0418,1931,TSRA BR HZ VCTS,0,M,0.0,0.16,29.39,30.11,6.1,22,7.1
2007-06-26,2,41.786,-87.752,91,73,82.0,M,69,72,0,17,-,-,BR HZ,M,M,M,0.0,29.45,30.09,7.3,21,8.1
2007-06-27,1,41.995,-87.933,91,71,81.0,10,70,72,0,16,0418,1931,TSRA,0,M,0.0,0.15,29.29,30.02,7.5,24,8.8
2007-06-27,2,41.786,-87.752,89,71,80.0,M,69,72,0,15,-,-,TSRA RA BR,M,M,M,0.35,29.36,30.00,7.9,24,8.5
2007-06-28,1,41.995,-87.933,74,58,66.0,-5,55,60,0, 1,0419,1931, ,0,M,0.0,0.0,29.41,30.09,11.9,3,12.5
2007-06-28,2,41.786,-87.752,73,61,67.0,M,56,61,0, 2,-,-, ,M,M,M,0.0,29.43,30.07,12.2,2,13.3
2007-06-29,1,41.995,-87.933,70,56,63.0,-8,55,59,2, 0,0419,1931, ,0,M,0.0,0.0,29.41,30.13,7.6,2,8.3
2007-06-29,2,41.786,-87.752,71,56,63.5,M,56,60,1, 0,-,-, ,M,M,M,0.0,29.47,30.11,7.4,2,8.2
2007-06-30,1,41.995,-87.933,79,54,66.5,-5,46,56,0, 2,0419,1931, ,0,M,0.0,0.0,29.41,30.13,4.9,3,5.8
2007-06-30,2,41.786,-87.752,77,58,67.5,M,49,58,0, 3,-,-, ,M,M,M,0.0,29.46,30.11,5.1,4,6.2
2007-07-01,1,41.995,-87.933,75,54,64.5,-7,52,58,0, 0,0420,1931, ,0,M,0.0,0.0,29.51,30.23,8.6,4,8.6
2007-07-01,2,41.786,-87.752,76,61,68.5,M,51,59,0, 4,-,-, ,M,M,M,0.0,29.56,30.21,9.5,4,9.7
2007-07-02,1,41.995,-87.933,79,53,66.0,-6,50,58,0, 1,0420,1931, ,0,M,0.0,0.0,29.49,30.22,5.9,14,8.1
2007-07-02,2,41.786,-87.752,77,58,67.5,M,50,59,0, 3,-,-, ,M,M,M,0.0,29.55,30.21,7.4,12,8.5
2007-07-03,1,41.995,-87.933,83,60,71.5, 0,57,63,0, 7,0421,1931,TSRA RA BR,0,M,0.0,0.4,29.31,30.06,6.7,21,7.3
2007-07-03,2,41.786,-87.752,83,63,73.0,M,56,63,0, 8,-,-,TSRA RA,M,M,M,0.09,29.38,30.05,6.4,21,7.4
2007-07-04,1,41.995,-87.933,86,67,76.5, 5,65,69,0,12,0422,1930,TSRA BR HZ FU,0,M,0.0,0.16,29.18,29.90,4.6,27,8.2
2007-07-04,2,41.786,-87.752,84,67,75.5,M,65,69,0,11,-,-,TSRA RA HZ FU,M,M,M,0.66,29.23,29.88,3.1,25,8.8
2007-07-05,1,41.995,-87.933,89,71,80.0, 8,60,67,0,15,0422,1930,BR HZ FU,0,M,0.0,0.0,29.24,29.94,6.4,31,8.1
2007-07-05,2,41.786,-87.752,88,70,79.0,M,60,67,0,14,-,-,BR,M,M,M,0.0,29.29,29.92,4.3,33,6.9
2007-07-06,1,41.995,-87.933,86,66,76.0, 4,57,64,0,11,0423,1930, ,0,M,0.0,0.0,29.32,30.03,3.2,5,5.5
2007-07-06,2,41.786,-87.752,84,68,76.0,M,57,65,0,11,-,-, ,M,M,M,0.0,29.38,30.01,3.3,7,5.5
2007-07-07,1,41.995,-87.933,90,64,77.0, 5,63,69,0,12,0423,1930, ,0,M,0.0,0.0,29.18,29.91,8.4,22,8.6
2007-07-07,2,41.786,-87.752,88,68,78.0,M,62,68,0,13,-,-, ,M,M,M,0.0,29.24,29.90,7.4,23,8.1
2007-07-08,1,41.995,-87.933,94,75,84.5,12,67,72,0,20,0424,1929, ,0,M,0.0,0.0,29.05,29.77,12.9,24,13.1
2007-07-08,2,41.786,-87.752,93,75,84.0,M,67,72,0,19,-,-, ,M,M,M,0.0,29.12,29.76,12.6,23,12.7
2007-07-09,1,41.995,-87.933,94,70,82.0, 9,66,70,0,17,0425,1929,TSRA RA VCTS,0,M,0.0,0.3,29.11,29.80,4.9,24,8.8
2007-07-09,2,41.786,-87.752,93,72,82.5,M,67,71,0,18,-,-,RA,M,M,M,0.24,29.16,29.79,4.8,23,8.8
2007-07-10,1,41.995,-87.933,89,69,79.0, 6,67,70,0,14,0425,1929,HZ VCTS,0,M,0.0,0.43,29.06,29.77,8.6,23,10.5
2007-07-10,2,41.786,-87.752,89,70,79.5,M,67,71,0,15,-,-,TSRA HZ,M,M,M,0.08,29.13,29.76,8.2,23,10.2
2007-07-11,1,41.995,-87.933,77,62,69.5,-3,51,59,0, 5,0426,1928, ,0,M,0.0,0.0,29.23,29.93,8.8,30,10.9
2007-07-11,2,41.786,-87.752,77,63,70.0,M,51,59,0, 5,-,-, ,M,M,M,0.0,29.28,29.92,9.1,30,11.2
2007-07-12,1,41.995,-87.933,80,61,70.5,-2,51,59,0, 6,0427,1928, ,0,M,0.0,0.0,29.22,29.93,9.4,29,11.1
2007-07-12,2,41.786,-87.752,80,60,70.0,M,51,60,0, 5,-,-,VCTS,M,M,M,0.0,29.28,29.92,10.0,28,11.4
2007-07-13,1,41.995,-87.933,78,58,68.0,-5,52,58,0, 3,0428,1927, ,0,M,0.0,0.0,29.26,29.98,1.4,1,5.3
2007-07-13,2,41.786,-87.752,74,59,66.5,M,53,59,0, 2,-,-, ,M,M,M,0.0,29.33,29.98,2.0,7,5.8
2007-07-14,1,41.995,-87.933,84,61,72.5, 0,55,62,0, 8,0428,1927, ,0,M,0.0,0.0,29.08,29.79,8.3,26,13.2
2007-07-14,2,41.786,-87.752,85,62,73.5,M,55,62,0, 9,-,-, ,M,M,M,0.0,29.14,29.79,8.4,25,13.9
2007-07-15,1,41.995,-87.933,82,60,71.0,-3,53,61,0, 6,0429,1926, ,0,M,0.0,0.0,29.19,29.89,2.1,29,4.9
2007-07-15,2,41.786,-87.752,80,64,72.0,M,52,61,0, 7,-,-, ,M,M,M,0.0,29.25,29.88,1.2,9,6.5
2007-07-16,1,41.995,-87.933,82,65,73.5, 0,60,65,0, 9,0430,1925,RA BR,0,M,0.0,0.39,29.25,29.96,4.4,24,5.2
2007-07-16,2,41.786,-87.752,82,66,74.0,M,60,65,0, 9,-,-,TSRA RA,M,M,M,0.07,29.31,29.94,5.6,23,6.6
2007-07-17,1,41.995,-87.933,83,68,75.5, 2,66,69,0,11,0431,1925,RA BR VCTS,0,M,0.0,0.11,29.18,29.90,5.2,23,6.5
2007-07-17,2,41.786,-87.752,83,69,76.0,M,65,69,0,11,-,-,RA BR,M,M,M,0.11,29.24,29.89,6.3,23,7.4
2007-07-18,1,41.995,-87.933,85,69,77.0, 3,68,71,0,12,0432,1924,TSRA RA BR VCTS,0,M,0.0,1.55,29.11,29.84,9.1,24,10.1
2007-07-18,2,41.786,-87.752,85,69,77.0,M,69,71,0,12,-,-,TS TSRA RA BR HZ VCTS,M,M,M,0.92,29.18,29.83,10.3,24,10.6
2007-07-19,1,41.995,-87.933,83,63,73.0,-1,63,66,0, 8,0433,1923,DZ BR,0,M,0.0,0.16,29.21,29.90,7.0,1,11.9
2007-07-19,2,41.786,-87.752,82,63,72.5,M,62,66,0, 8,-,-,BR HZ,M,M,M,0.01,29.26,29.88,7.7,36,14.4
2007-07-20,1,41.995,-87.933,75,58,66.5,-7,53,59,0, 2,0433,1923, ,0,M,0.0,0.0,29.44,30.14,8.6,3,9.1
2007-07-20,2,41.786,-87.752,74,62,68.0,M,52,59,0, 3,-,-, ,M,M,M,0.0,29.49,30.12,11.3,4,11.5
2007-07-21,1,41.995,-87.933,74,58,66.0,-8,52,58,0, 1,0434,1922, ,0,M,0.0,0.0,29.51,30.22,6.5,3,7.4
2007-07-21,2,41.786,-87.752,75,58,66.5,M,52,59,0, 2,-,-, ,M,M,M,0.0,29.57,30.21,5.8,4,7.4
2007-07-22,1,41.995,-87.933,81,58,69.5,-4,55,61,0, 5,0435,1921, ,0,M,0.0,0.0,29.49,30.21,1.7,16,3.3
2007-07-22,2,41.786,-87.752,81,61,71.0,M,54,61,0, 6,-,-, ,M,M,M,0.0,29.54,30.20,1.9,18,3.5
2007-07-23,1,41.995,-87.933,83,60,71.5,-2,55,63,0, 7,0436,1920, ,0,M,0.0,0.0,29.37,30.10,3.2,9,4.0
2007-07-23,2,41.786,-87.752,82,63,72.5,M,55,63,0, 8,-,-, ,M,M,M,0.0,29.42,30.09,2.9,12,3.9
2007-07-24,1,41.995,-87.933,82,65,73.5, 0,58,64,0, 9,0437,1919, ,0,M,0.0,0.0,29.32,30.04,3.1,20,5.2
2007-07-24,2,41.786,-87.752,82,65,73.5,M,57,64,0, 9,-,-, ,M,M,M,0.0,29.38,30.03,1.1,21,4.9
2007-07-25,1,41.995,-87.933,85,71,78.0, 4,61,67,0,13,0438,1918, ,0,M,0.0,0.0,29.29,30.00,5.8,25,6.6
2007-07-25,2,41.786,-87.752,83,70,76.5,M,60,66,0,12,-,-, ,M,M,M,0.0,29.35,29.99,6.4,23,7.0
2007-07-26,1,41.995,-87.933,83,66,74.5, 1,65,68,0,10,0439,1918,TS TSRA RA BR HZ,0,M,0.0,0.19,29.19,29.92,7.2,22,9.4
2007-07-26,2,41.786,-87.752,84,64,74.0,M,65,68,0, 9,-,-,TS TSRA BR HZ,M,M,M,0.89,29.25,29.91,7.2,22,9.9
2007-07-27,1,41.995,-87.933,83,70,76.5, 3,68,70,0,12,0440,1917,RA BR HZ,0,M,0.0,0.17,29.11,29.82,3.0,3,7.9
2007-07-27,2,41.786,-87.752,83,70,76.5,M,67,70,0,12,-,-,RA BR HZ,M,M,M,0.04,29.16,29.80,1.2,36,8.1
2007-07-28,1,41.995,-87.933,80,66,73.0,-1,65,68,0, 8,0441,1916,BR HZ,0,M,0.0,0.0,29.23,29.93,10.0,3,10.2
2007-07-28,2,41.786,-87.752,80,70,75.0,M,65,68,0,10,-,-,BR HZ,M,M,M,0.0,29.28,29.91,10.6,3,10.7
2007-07-29,1,41.995,-87.933,85,63,74.0, 0,57,64,0, 9,0442,1915, ,0,M,0.0,0.0,29.28,29.99,4.8,5,5.7
2007-07-29,2,41.786,-87.752,85,67,76.0,M,56,64,0,11,-,-, ,M,M,M,0.0,29.34,29.97,6.3,5,6.9
2007-07-30,1,41.995,-87.933,89,62,75.5, 2,55,64,0,11,0443,1914, ,0,M,0.0,0.0,29.33,30.03,3.8,6,4.3
2007-07-30,2,41.786,-87.752,86,65,75.5,M,57,65,0,11,-,-, ,M,M,M,0.0,29.39,30.01,3.1,6,4.6
